Image,P_ID,Condition,In_Out,X,Y
1001.0,p9,fil_non,1.0,412.1,287.9
1001.0,p9,fil_non,1.0,342.5,271.4
1001.0,p9,fil_non,1.0,369.7,327.4
1001.0,p9,fil_non,1.0,482.2,245.4
1001.0,p9,fil_non,1.0,363.5,227.9
1001.0,p9,fil_non,1.0,195.8,103.8
1001.0,p9,fil_non,1.0,410.3,211.3
1001.0,p9,fil_non,1.0,434.6,298.8
1001.0,p9,raw_non,1.0,421.7,347.2
1001.0,p9,raw_non,1.0,360.2,337.3
1001.0,p9,raw_non,1.0,433.2,414.7
1001.0,p9,raw_non,1.0,643.2,459.2
1001.0,p9,raw_non,1.0,374.6,301.8
1001.0,p9,raw_non,1.0,208.2,210.7
1001.0,p9,raw_non,1.0,430.9,251.0
1001.0,p9,raw_non,1.0,374.2,104.3
1001.0,p10,fil_non,1.0,377.6,300.3
1001.0,p10,fil_non,1.0,341.4,418.9
1001.0,p10,fil_non,1.0,385.3,310.2
1001.0,p10,fil_non,1.0,308.7,201.0
1001.0,p10,fil_non,1.0,175.4,218.8
1001.0,p10,fil_non,0.0,94.2,131.9
1001.0,p10,fil_non,1.0,385.0,359.4
1001.0,p10,fil_non,1.0,405.7,340.5
1001.0,p10,fil_non,1.0,217.5,178.7
1001.0,p10,fil_non,1.0,282.4,212.6
1001.0,p10,raw_non,1.0,392.7,342.7
1001.0,p10,raw_non,1.0,377.6,446.1
1001.0,p10,raw_non,1.0,301.8,445.2
1001.0,p10,raw_non,1.0,259.7,239.0
1001.0,p10,raw_non,1.0,286.4,162.6
1001.0,p10,raw_non,1.0,343.2,158.5
1001.0,p10,raw_non,1.0,775.2,176.6
1001.0,p10,raw_non,1.0,479.3,146.8
1001.0,p10,raw_non,1.0,426.0,181.3
1001.0,p10,raw_non,1.0,159.4,135.6
1001.0,p10,raw_non,0.0,86.8,117.3
1001.0,p11,fil_non,1.0,401.8,249.2
1001.0,p11,fil_non,1.0,306.9,281.4
1001.0,p11,fil_non,1.0,262.2,157.3
1001.0,p11,fil_non,1.0,381.7,132.5
1001.0,p11,fil_non,0.0,576.2,284.9
1001.0,p11,fil_non,1.0,411.8,306.8
1001.0,p11,fil_non,1.0,351.3,110.1
1001.0,p11,fil_non,1.0,197.6,117.7
1001.0,p11,raw_non,1.0,399.4,243.2
1001.0,p11,raw_non,1.0,353.4,288.8
1001.0,p11,raw_non,1.0,165.5,179.9
1001.0,p11,raw_non,1.0,362.9,272.5
1001.0,p12,fil_non,1.0,390.8,319.7
1001.0,p12,fil_non,1.0,345.2,358.9
1001.0,p12,fil_non,1.0,423.0,322.4
1001.0,p12,fil_non,1.0,329.4,216.2
1001.0,p12,fil_non,1.0,422.3,97.1
1001.0,p12,raw_non,1.0,396.6,290.4
1001.0,p12,raw_non,1.0,297.9,199.8
1001.0,p12,raw_non,1.0,407.2,253.4
1001.0,p12,raw_non,1.0,343.1,353.8
1001.0,p12,raw_non,1.0,440.8,315.1
1001.0,p12,raw_non,1.0,347.9,386.9
1001.0,p12,raw_non,1.0,380.4,440.3
1001.0,p12,raw_non,1.0,205.2,249.0
1001.0,p12,raw_non,1.0,713.3,454.9
1001.0,p12,raw_non,1.0,623.3,460.1
1001.0,p12,raw_non,1.0,700.3,427.4
1001.0,p13,fil_non,1.0,430.9,312.9
1001.0,p13,fil_non,1.0,377.9,344.0
1001.0,p13,fil_non,1.0,351.2,201.9
1001.0,p13,fil_non,1.0,395.7,360.9
1001.0,p13,fil_non,1.0,347.5,370.6
1001.0,p13,fil_non,1.0,416.4,314.8
1001.0,p13,fil_non,1.0,378.9,118.9
1001.0,p13,fil_non,1.0,357.3,114.1
1001.0,p13,raw_non,1.0,452.2,251.9
1001.0,p13,raw_non,1.0,341.7,293.3
1001.0,p13,raw_non,1.0,406.2,312.7
1001.0,p13,raw_non,1.0,398.5,331.8
1001.0,p13,raw_non,1.0,643.2,397.6
1001.0,p13,raw_non,1.0,290.5,179.2
1001.0,p13,raw_non,1.0,393.7,103.7
1001.0,p13,raw_non,1.0,759.6,133.4
1001.0,p14,fil_non,1.0,414.1,312.9
1001.0,p14,fil_non,1.0,389.0,366.5
1001.0,p14,fil_non,1.0,380.0,175.9
1001.0,p14,fil_non,1.0,189.4,222.5
1001.0,p14,fil_non,0.0,97.2,455.8
1001.0,p14,fil_non,0.0,276.2,525.9
1001.0,p14,fil_non,1.0,321.5,481.5
1001.0,p14,fil_non,1.0,700.6,387.6
1001.0,p14,fil_non,0.0,751.0,378.3
1001.0,p14,raw_non,1.0,342.1,324.1
1001.0,p14,raw_non,1.0,319.9,254.7
1001.0,p14,raw_non,1.0,287.2,338.3
1001.0,p14,raw_non,1.0,253.1,152.2
1001.0,p14,raw_non,1.0,283.4,280.1
1001.0,p14,raw_non,1.0,244.0,291.2
1001.0,p14,raw_non,1.0,366.6,285.8
1001.0,p15,fil_non,1.0,410.2,329.7
1001.0,p15,fil_non,1.0,368.7,365.3
1001.0,p15,fil_non,1.0,343.5,419.9
1001.0,p15,fil_non,1.0,395.4,446.0
1001.0,p15,fil_non,1.0,368.9,157.5
1001.0,p15,fil_non,1.0,214.2,210.9
1001.0,p15,fil_non,0.0,55.8,319.3
1001.0,p15,fil_non,0.0,34.2,481.0
1001.0,p15,fil_non,0.0,612.5,490.5
1001.0,p15,fil_non,1.0,687.2,386.5
1001.0,p15,fil_non,0.0,777.0,298.7
1001.0,p15,fil_non,1.0,799.6,138.2
1001.0,p15,raw_non,1.0,409.0,319.1
1001.0,p15,raw_non,1.0,335.2,403.5
1001.0,p15,raw_non,1.0,426.8,418.5
1001.0,p15,raw_non,1.0,233.4,199.8
1001.0,p15,raw_non,1.0,368.6,121.3
1001.0,p15,raw_non,1.0,468.4,125.7
1001.0,p15,raw_non,1.0,426.9,458.8
1001.0,p15,raw_non,1.0,376.7,387.6
1001.0,p15,raw_non,1.0,434.3,286.0
1001.0,p16,fil_non,1.0,361.5,290.6
1001.0,p16,fil_non,1.0,316.7,349.5
1001.0,p16,fil_non,1.0,290.1,214.9
1001.0,p16,fil_non,1.0,308.6,180.6
1001.0,p16,fil_non,1.0,157.7,191.3
1001.0,p16,raw_non,1.0,334.9,206.9
1001.0,p16,raw_non,1.0,178.5,186.9
1001.0,p16,raw_non,1.0,167.1,144.9
1001.0,p16,raw_non,1.0,366.1,74.1
1001.0,p16,raw_non,0.0,418.5,21.3
1001.0,p16,raw_non,1.0,165.1,161.6
1001.0,p16,raw_non,1.0,665.4,402.0
1001.0,p16,raw_non,0.0,536.4,383.7
1002.0,p9,fil_sem,1.0,434.6,316.5
1002.0,p9,fil_sem,1.0,256.7,279.6
1002.0,p9,fil_sem,1.0,523.0,344.6
1002.0,p9,fil_sem,1.0,400.1,333.8
1002.0,p9,fil_sem,1.0,227.7,302.6
1002.0,p9,fil_sem,1.0,596.5,348.4
1002.0,p9,fil_sem,0.0,315.1,310.6
1002.0,p9,fil_sem,1.0,278.4,317.7
1002.0,p9,fil_sem,1.0,662.6,365.7
1002.0,p9,raw_sem,1.0,413.4,337.7
1002.0,p9,raw_sem,0.0,451.4,363.5
1002.0,p9,raw_sem,0.0,318.3,380.5
1002.0,p9,raw_sem,0.0,444.8,400.2
1002.0,p9,raw_sem,1.0,587.6,412.7
1002.0,p9,raw_sem,1.0,496.3,440.1
1002.0,p9,raw_sem,1.0,546.5,489.5
1002.0,p9,raw_sem,1.0,205.3,330.4
1002.0,p9,raw_sem,1.0,251.1,341.4
1002.0,p9,raw_sem,1.0,587.8,385.9
1002.0,p9,raw_sem,1.0,260.8,333.6
1002.0,p10,fil_sem,1.0,400.5,290.2
1002.0,p10,fil_sem,1.0,207.4,263.0
1002.0,p10,fil_sem,1.0,240.2,331.4
1002.0,p10,fil_sem,1.0,563.2,391.2
1002.0,p10,fil_sem,1.0,611.9,395.0
1002.0,p10,fil_sem,1.0,97.9,168.8
1002.0,p10,fil_sem,1.0,232.8,344.0
1002.0,p10,fil_sem,1.0,595.2,393.5
1002.0,p10,raw_sem,1.0,409.6,360.4
1002.0,p10,raw_sem,1.0,231.7,372.0
1002.0,p10,raw_sem,1.0,627.0,444.9
1002.0,p10,raw_sem,1.0,181.5,290.1
1002.0,p10,raw_sem,1.0,225.5,379.5
1002.0,p10,raw_sem,1.0,128.3,185.1
1002.0,p10,raw_sem,1.0,268.1,324.4
1002.0,p10,raw_sem,1.0,620.6,391.7
1002.0,p11,fil_sem,0.0,398.3,229.8
1002.0,p11,fil_sem,0.0,211.4,222.0
1002.0,p11,fil_sem,0.0,575.1,274.9
1002.0,p11,fil_sem,0.0,311.8,183.6
1002.0,p11,fil_sem,0.0,117.1,82.7
1002.0,p11,fil_sem,0.0,545.0,313.1
1002.0,p11,raw_sem,0.0,390.4,258.1
1002.0,p11,raw_sem,1.0,221.8,265.6
1002.0,p11,raw_sem,1.0,125.1,150.4
1002.0,p11,raw_sem,0.0,625.8,313.0
1002.0,p11,raw_sem,1.0,597.5,358.9
1002.0,p11,raw_sem,0.0,352.8,305.3
1002.0,p11,raw_sem,1.0,205.2,281.6
1002.0,p11,raw_sem,1.0,109.4,140.3
1002.0,p12,fil_sem,1.0,411.2,298.3
1002.0,p12,fil_sem,1.0,215.5,301.4
1002.0,p12,fil_sem,1.0,229.1,313.1
1002.0,p12,fil_sem,1.0,127.4,135.7
1002.0,p12,fil_sem,1.0,522.8,364.9
1002.0,p12,fil_sem,1.0,592.1,395.2
1002.0,p12,fil_sem,0.0,402.0,366.3
1002.0,p12,fil_sem,1.0,264.4,320.5
1002.0,p12,raw_sem,0.0,401.2,271.6
1002.0,p12,raw_sem,0.0,209.4,145.5
1002.0,p12,raw_sem,1.0,226.8,300.9
1002.0,p12,raw_sem,1.0,105.5,131.0
1002.0,p12,raw_sem,1.0,133.9,145.2
1002.0,p12,raw_sem,1.0,214.8,293.9
1002.0,p12,raw_sem,0.0,447.6,321.6
1002.0,p12,raw_sem,0.0,677.7,327.4
1002.0,p12,raw_sem,1.0,622.9,359.7
1002.0,p12,raw_sem,1.0,540.9,486.2
1002.0,p12,raw_sem,0.0,51.5,151.1
1002.0,p12,raw_sem,1.0,104.7,137.3
1002.0,p13,fil_sem,1.0,439.0,292.2
1002.0,p13,fil_sem,1.0,238.9,332.2
1002.0,p13,fil_sem,1.0,608.5,357.2
1002.0,p13,fil_sem,1.0,248.4,324.0
1002.0,p13,fil_sem,1.0,401.2,302.2
1002.0,p13,fil_sem,0.0,447.8,311.1
1002.0,p13,fil_sem,1.0,247.4,329.4
1002.0,p13,raw_sem,0.0,395.5,247.4
1002.0,p13,raw_sem,1.0,271.5,282.9
1002.0,p13,raw_sem,0.0,614.2,306.3
1002.0,p13,raw_sem,0.0,361.9,291.9
1002.0,p13,raw_sem,0.0,549.7,317.0
1002.0,p13,raw_sem,1.0,671.6,338.6
1002.0,p13,raw_sem,1.0,625.3,365.3
1002.0,p13,raw_sem,1.0,250.8,300.0
1002.0,p13,raw_sem,1.0,145.4,104.9
1002.0,p13,raw_sem,0.0,224.9,115.5
1002.0,p14,fil_sem,1.0,412.5,303.9
1002.0,p14,fil_sem,1.0,233.6,337.4
1002.0,p14,fil_sem,0.0,161.5,210.1
1002.0,p14,fil_sem,1.0,233.2,316.8
1002.0,p14,fil_sem,1.0,609.5,421.1
1002.0,p14,fil_sem,1.0,408.7,350.5
1002.0,p14,fil_sem,1.0,232.9,360.3
1002.0,p14,fil_sem,0.0,411.6,373.5
1002.0,p14,fil_sem,1.0,623.6,424.0
1002.0,p14,raw_sem,0.0,368.0,254.0
1002.0,p14,raw_sem,1.0,198.4,358.3
1002.0,p14,raw_sem,1.0,514.1,380.7
1002.0,p14,raw_sem,1.0,569.7,391.1
1002.0,p14,raw_sem,1.0,177.9,347.2
1002.0,p14,raw_sem,1.0,102.3,165.2
1002.0,p14,raw_sem,1.0,165.9,320.4
1002.0,p14,raw_sem,1.0,596.2,401.0
1002.0,p14,raw_sem,0.0,330.7,340.0
1002.0,p14,raw_sem,1.0,193.6,374.9
1002.0,p14,raw_sem,1.0,186.1,297.4
1002.0,p14,raw_sem,0.0,99.3,216.5
1002.0,p15,fil_sem,1.0,409.0,341.4
1002.0,p15,fil_sem,1.0,232.9,338.0
1002.0,p15,fil_sem,1.0,600.6,394.5
1002.0,p15,fil_sem,1.0,184.4,348.5
1002.0,p15,fil_sem,1.0,213.4,325.6
1002.0,p15,fil_sem,1.0,91.7,157.3
1002.0,p15,fil_sem,1.0,134.1,168.7
1002.0,p15,fil_sem,1.0,444.2,331.4
1002.0,p15,fil_sem,1.0,626.5,401.1
1002.0,p15,raw_sem,1.0,395.0,329.9
1002.0,p15,raw_sem,1.0,217.6,342.7
1002.0,p15,raw_sem,1.0,154.4,152.7
1002.0,p15,raw_sem,0.0,681.5,371.9
1002.0,p15,raw_sem,1.0,628.8,401.3
1002.0,p15,raw_sem,1.0,230.6,345.6
1002.0,p16,fil_sem,0.0,367.0,278.4
1002.0,p16,fil_sem,1.0,559.9,334.6
1002.0,p16,fil_sem,0.0,175.1,227.1
1002.0,p16,fil_sem,1.0,182.4,281.0
1002.0,p16,fil_sem,1.0,188.6,305.4
1002.0,p16,fil_sem,0.0,337.8,1078.2
1002.0,p16,fil_sem,0.0,219.6,1040.7
1002.0,p16,fil_sem,1.0,279.8,350.4
1002.0,p16,fil_sem,1.0,189.1,309.8
1002.0,p16,raw_sem,0.0,378.5,268.9
1002.0,p16,raw_sem,1.0,163.9,264.7
1002.0,p16,raw_sem,0.0,557.5,316.2
1002.0,p16,raw_sem,1.0,582.0,364.8
1002.0,p16,raw_sem,0.0,89.9,85.9
1002.0,p16,raw_sem,1.0,145.5,138.5
1002.0,p16,raw_sem,0.0,127.9,297.1
1002.0,p16,raw_sem,1.0,176.3,304.6
1002.0,p16,raw_sem,1.0,226.3,290.4
1002.0,p16,raw_sem,0.0,547.4,310.2
1004.0,p9,fil_sem,1.0,442.1,248.1
1004.0,p9,fil_sem,1.0,344.3,71.8
1004.0,p9,fil_sem,0.0,304.1,44.2
1004.0,p9,fil_sem,1.0,558.4,146.3
1004.0,p9,fil_sem,1.0,562.1,244.1
1004.0,p9,fil_sem,1.0,553.8,301.1
1004.0,p9,fil_sem,0.0,609.7,228.7
1004.0,p9,fil_sem,1.0,551.6,297.8
1004.0,p9,fil_sem,1.0,565.3,253.2
1004.0,p9,raw_sem,1.0,421.9,281.1
1004.0,p9,raw_sem,1.0,288.4,127.1
1004.0,p9,raw_sem,1.0,311.0,106.1
1004.0,p9,raw_sem,1.0,551.3,240.1
1004.0,p9,raw_sem,1.0,540.3,355.1
1004.0,p9,raw_sem,0.0,358.3,294.9
1004.0,p9,raw_sem,0.0,332.1,243.0
1004.0,p9,raw_sem,0.0,406.9,204.5
1004.0,p9,raw_sem,1.0,341.3,167.8
1004.0,p9,raw_sem,1.0,451.0,302.8
1004.0,p10,fil_sem,0.0,381.4,290.0
1004.0,p10,fil_sem,0.0,243.7,222.4
1004.0,p10,fil_sem,0.0,218.2,182.9
