RAW_Type0non_1social,RAW_Fixation_Duration,RAW_ZscoreDURATION_AllPs=(F2-350)/291.4,RAW_DUR_ZscorebyP,RAW_Fixation_Start,RAW_P_Navon_Zscore,RAW_NAVON_Z_GROUPminus1_0_1,RAW_NavonTemporalZscore,FILTER_Type0non_1social,FILTER_Fixation_Duration,FILTER_ZscoreDURATION_AllPs=(F2-350)/291.4,FILTER_DUR_ZscorebyP,FILTER_Fixation_Start,FILTER_P_Navon_Zscore,FILTER_NAVON_Z_GROUPminus1_0_1,FILTER_NavonTemporalZscore
0,122,-0.78242965,-0.6556776557,94,0.98,0,-0.51,0,694,1.180507893,1.323076923,10,1.04,1,-1.07
1,194,-0.5353466026,-0.6136363636,94,0.45,0,,0,72,-0.9540150995,-1.069230769,10,1.04,1,-1.07
0,170,-0.6177076184,-0.6923076923,96,1.04,1,-1.07,0,168,-0.6245710364,-0.7,10,1.04,1,-1.07
0,138,-0.7275223061,-0.7589285714,98,-0.5,0,-0.18,0,150,-0.6863417982,-0.7692307692,10,1.04,1,-1.07
0,138,-0.7275223061,-0.7589285714,100,-0.5,0,-0.18,0,148,-0.6932052162,-0.7769230769,10,1.04,1,-1.07
1,114,-0.8098833219,-0.8660714286,100,-0.5,0,-0.18,0,734,1.317776253,1.476923077,10,1.04,1,-1.07
0,196,-0.5284831846,-0.6005665722,100,-0.89,0,0.35,0,134,-0.7412491421,-0.8307692308,10,1.04,1,-1.07
0,182,-0.5765271105,-0.3688888889,100,,0,,0,142,-0.7137954701,-0.8,10,1.04,1,-1.07
1,130,-0.754975978,-0.4695652174,102,-0.5,0,2.3,0,192,-0.5422100206,-0.6076923077,10,1.04,1,-1.07
0,692,1.173644475,1.714285714,104,-0.5,0,-0.18,1,154,-0.6726149623,-0.7538461538,10,1.04,1,-1.07
1,182,-0.5765271105,-0.6477272727,106,0.45,0,,1,156,-0.6657515443,-0.7461538462,10,1.04,1,-1.07
1,160,-0.6520247083,-0.7307692308,108,1.04,1,-1.07,1,206,-0.4941660947,-0.5538461538,10,1.04,1,-1.07
0,140,-0.7206588881,-0.9150943396,110,-0.13,0,-0.36,1,312,-0.1304049417,-0.1461538462,10,1.04,1,-1.07
1,122,-0.78242965,-0.8303571429,110,-0.5,0,-0.18,1,160,-0.6520247083,-0.7307692308,10,1.04,1,-1.07
0,174,-0.6039807824,-0.5796460177,110,1.78,1,-0.71,1,162,-0.6451612903,-0.7230769231,10,1.04,1,-1.07
0,174,-0.6039807824,-0.8081761006,112,-0.13,0,-0.36,1,160,-0.6520247083,-0.7307692308,10,1.04,1,-1.07
0,220,-0.4461221688,-0.6635220126,112,-0.13,0,-0.36,1,1372,3.507206589,3.930769231,10,1.04,1,-1.07
0,152,-0.6794783802,-0.6964285714,112,-0.5,0,-0.18,1,152,-0.6794783802,-0.7615384615,10,1.04,1,-1.07
1,218,-0.4529855868,-0.5033112583,112,-0.18,0,-0.18,1,146,-0.7000686342,-0.7846153846,10,1.04,1,-1.07
0,212,-0.4735758408,-0.4285714286,114,-0.5,0,-0.18,1,164,-0.6382978723,-0.7153846154,10,1.04,1,-1.07
0,862,1.757035003,1.28611898,114,-0.89,0,0.35,1,168,-0.6245710364,-0.7,10,1.04,1,-1.07
0,182,-0.5765271105,-0.3688888889,114,,0,,1,762,1.413864104,1.584615385,10,1.04,1,-1.07
0,736,1.324639671,0.9261363636,114,0.45,0,,1,174,-0.6039807824,-0.6769230769,10,1.04,1,-1.07
1,196,-0.5284831846,-0.1826086957,118,-0.5,0,2.3,1,152,-0.6794783802,-0.7615384615,10,1.04,1,-1.07
1,770,1.441317776,1.251677852,118,-0.29,0,-0.64,1,138,-0.7275223061,-0.8153846154,10,1.04,1,-1.07
1,1082,2.512010981,2.298657718,120,-0.29,0,-0.64,1,98,-0.8647906658,-0.9692307692,10,1.04,1,-1.07
0,136,-0.7343857241,-0.5733333333,120,,0,,1,142,-0.7137954701,-0.8,10,1.04,1,-1.07
0,182,-0.5765271105,-0.6477272727,120,0.45,0,,1,152,-0.6794783802,-0.7615384615,10,1.04,1,-1.07
0,128,-0.761839396,-0.8035714286,122,-0.5,0,-0.18,1,700,1.201098147,1.346153846,10,1.04,1,-1.07
0,188,-0.5559368566,-0.7013422819,122,-0.29,0,-0.64,1,162,-0.6451612903,-0.7230769231,10,1.04,1,-1.07
1,164,-0.6382978723,-0.7818791946,124,-0.29,0,-0.64,1,148,-0.6932052162,-0.7769230769,10,1.04,1,-1.07
1,148,-0.6932052162,-0.7769230769,128,1.04,1,-1.07,1,150,-0.6863417982,-0.7692307692,10,1.04,1,-1.07
0,928,1.983527797,2.767857143,128,-0.5,0,-0.18,1,150,-0.6863417982,-0.7692307692,10,1.04,1,-1.07
0,302,-0.1647220316,0.003663003663,128,0.98,0,-0.51,1,158,-0.6588881263,-0.7384615385,10,1.04,1,-1.07
0,148,-0.6932052162,-0.7365439093,128,-0.89,0,0.35,1,18,-1.139327385,-1.276923077,10,1.04,1,-1.07
0,402,0.1784488675,0.36996337,130,0.98,0,-0.51,1,144,-0.7069320522,-0.7923076923,10,1.04,1,-1.07
1,758,1.400137268,1.673992674,132,0.98,0,-0.51,1,106,-0.8373369938,-0.9384615385,10,1.04,1,-1.07
1,166,-0.6314344544,-0.7751677852,132,-0.29,0,-0.64,1,132,-0.7481125601,-0.8384615385,10,1.04,1,-1.07
0,254,-0.3294440631,-0.4431818182,132,0.45,0,,1,118,-0.7961564859,-0.8923076923,10,1.04,1,-1.07
0,98,-0.8647906658,-0.6086956522,134,-0.5,0,2.3,1,106,-0.8373369938,-0.9384615385,10,1.04,1,-1.07
1,154,-0.6726149623,-0.3652173913,134,-0.5,0,2.3,1,180,-0.5833905285,-0.6538461538,10,1.04,1,-1.07
0,102,-0.8510638298,-1.034591195,134,-0.13,0,-0.36,0,254,-0.3294440631,-0.5566037736,10,-0.13,0,-0.36
0,290,-0.2059025395,-0.4433962264,134,-0.13,0,-0.36,0,172,-0.6108442004,-0.8144654088,10,-0.13,0,-0.36
0,238,-0.384351407,-0.2307692308,134,0.98,0,-0.51,0,306,-0.1509951956,-0.393081761,10,-0.13,0,-0.36
