RECORDING_SESSION_LABEL,TRIAL_INDEX,Trial_Index_,Image,image_type,response,trial_num,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_IS_RT_END,X,Y
P1,2,1,Uu.png,None,n,0,148,1,30,10.6,-17.2,FALSE,-549.4,-257.2
P1,2,1,Uu.png,None,n,0,188,2,240,1001,515.1,FALSE,441,275.1
P1,2,1,Uu.png,None,n,0,1506,3,450,1025.2,573.4,FALSE,465.2,333.4
P1,2,1,Uu.png,None,n,0,168,4,1974,996.4,524.2,FALSE,436.4,284.2
P1,2,1,Uu.png,None,n,0,324,5,2176,989.7,695.4,FALSE,429.7,455.4
P1,2,1,Uu.png,None,n,0,484,6,2540,961.7,482.4,FALSE,401.7,242.4
P1,2,1,Uu.png,None,n,0,198,7,3084,859.9,1146.4,FALSE,299.9,906.4
P1,2,1,Uu.png,None,n,0,258,8,3350,989,552.1,FALSE,429,312.1
P1,2,1,Uu.png,None,n,0,156,9,3636,969.8,663,FALSE,409.8,423
P1,2,1,Uu.png,None,n,0,216,10,3814,1008.9,721,FALSE,448.9,481
P1,2,1,Uu.png,None,n,0,178,11,4066,962.2,555.2,FALSE,402.2,315.2
P1,2,1,Uu.png,None,n,0,1660,12,4266,922.1,477.1,FALSE,362.1,237.1
P1,2,1,Uu.png,None,n,0,282,13,5948,918.4,537.7,FALSE,358.4,297.7
P1,3,2,Ou.png,Global,b,0,110,1,10,928.6,547.2,FALSE,368.6,307.2
P1,3,2,Ou.png,Global,b,0,728,2,144,979.1,536.7,FALSE,419.1,296.7
P1,3,2,Ou.png,Global,b,0,164,3,898,939.4,434.4,FALSE,379.4,194.4
P1,3,2,Ou.png,Global,b,0,182,4,1080,953.2,393.3,FALSE,393.2,153.3
P1,3,2,Ou.png,Global,b,0,144,5,1300,977.5,621.7,FALSE,417.5,381.7
P1,3,2,Ou.png,Global,b,0,196,6,1466,990.2,667.7,FALSE,430.2,427.7
P1,3,2,Ou.png,Global,b,0,608,7,1700,935.4,423.7,FALSE,375.4,183.7
P1,3,2,Ou.png,Global,b,0,308,8,2324,921.9,459.7,FALSE,361.9,219.7
P1,3,2,Ou.png,Global,b,0,158,9,2652,905.2,513.6,FALSE,345.2,273.6
P1,3,2,Ou.png,Global,b,0,138,10,2836,1017.5,514.8,FALSE,457.5,274.8
P1,4,3,Tt.png,None,n,0,208,1,10,945.1,576.7,FALSE,385.1,336.7
P1,4,3,Tt.png,None,n,0,910,2,242,1010.5,571.9,FALSE,450.5,331.9
P1,4,3,Tt.png,None,n,0,842,3,1178,978.5,426.3,FALSE,418.5,186.3
P1,4,3,Tt.png,None,n,0,360,4,2054,1004.7,559.3,FALSE,444.7,319.3
P1,4,3,Tt.png,None,n,0,250,5,2432,1004.2,509.8,FALSE,444.2,269.8
P1,4,3,Tt.png,None,n,0,254,6,2704,984.6,575,FALSE,424.6,335
P1,5,4,Uo.png,Local,b,0,1318,1,10,1016.4,585.7,FALSE,456.4,345.7
P1,5,4,Uo.png,Local,b,0,150,2,1354,1006,655,FALSE,446,415
P1,5,4,Uo.png,Local,b,0,204,3,1522,999.7,698,FALSE,439.7,458
P1,5,4,Uo.png,Local,b,0,230,4,1776,896.5,1144.6,FALSE,336.5,904.6
P1,5,4,Uo.png,Local,b,0,422,5,2030,817.9,1137,FALSE,257.9,897
P1,5,4,Uo.png,Local,b,0,434,6,2522,1011,499.1,FALSE,451,259.1
P1,5,4,Uo.png,Local,b,0,198,7,2976,991.7,538,FALSE,431.7,298
P1,5,4,Uo.png,Local,b,0,72,8,3192,1029.8,559.7,FALSE,469.8,319.7
P1,6,5,Tt.png,None,n,0,206,1,10,1066.3,615.7,FALSE,506.3,375.7
P1,6,5,Tt.png,None,n,0,1090,2,236,1004.5,596,FALSE,444.5,356
P1,6,5,Tt.png,None,n,0,62,3,1350,983.8,507.1,FALSE,423.8,267.1
P1,6,5,Tt.png,None,n,0,208,4,1430,968.9,450,FALSE,408.9,210
P1,6,5,Tt.png,None,n,0,286,5,1668,989.1,579.8,FALSE,429.1,339.8
P1,6,5,Tt.png,None,n,0,262,6,1980,986.3,478.3,FALSE,426.3,238.3
P1,6,5,Tt.png,None,n,0,182,7,2268,952.2,559.3,FALSE,392.2,319.3
P1,6,5,Tt.png,None,n,0,64,8,2476,1026.4,568.9,FALSE,466.4,328.9
P1,7,6,Ou.png,Global,b,0,784,1,10,1000.4,564.2,FALSE,440.4,324.2
P1,7,6,Ou.png,Global,b,0,818,2,816,965.6,531.1,FALSE,405.6,291.1
P1,7,6,Ou.png,Global,b,0,1240,3,1650,982.8,570.1,FALSE,422.8,330.1
P1,7,6,Ou.png,Global,b,0,290,4,2998,991.2,527.8,FALSE,431.2,287.8
P1,7,6,Ou.png,Global,b,0,240,5,3316,1032.9,622.2,FALSE,472.9,382.2
P1,7,6,Ou.png,Global,b,0,248,6,3576,1059.4,690.3,FALSE,499.4,450.3
P1,7,6,Ou.png,Global,b,0,184,7,3856,985.3,570.6,FALSE,425.3,330.6
P1,7,6,Ou.png,Global,b,0,502,8,4056,991.2,529.6,FALSE,431.2,289.6
P1,7,6,Ou.png,Global,b,0,224,9,4610,833.2,1104.7,FALSE,273.2,864.7
P1,7,6,Ou.png,Global,b,0,170,10,4896,959.5,613.9,FALSE,399.5,373.9
P1,8,7,Ul.png,None,n,0,256,1,10,1048.6,627.5,FALSE,488.6,387.5
P1,8,7,Ul.png,None,n,0,330,2,282,992.2,614.8,FALSE,432.2,374.8
P1,8,7,Ul.png,None,n,0,1124,3,628,1013.1,610.8,FALSE,453.1,370.8
P1,8,7,Ul.png,None,n,0,534,4,1780,1009,629.6,FALSE,449,389.6
P1,8,7,Ul.png,None,n,0,538,5,2550,1018,616,FALSE,458,376
P1,8,7,Ul.png,None,n,0,500,6,3266,1009.8,605.5,FALSE,449.8,365.5
